candidate_id,candidate_theme,drug_class,ingredient_or_class,expected_nutrient,expected_relation_direction,related_existing_relation_ids,candidate_source,estimated_card_impact,matched_item_count,name_only_item_count,popular_seed_match_count,source_status,source_needed,risk_level,caution_flags,user_value_score,impact_score,source_priority,next_action,do_not_implement_yet
D-THZ-03,치아지드 잔여(국내 유통) × 칼륨,치아지드 이뇨제 (thiazide diuretic),트리클로르메티아지드,칼륨,depletion,19;53;55,허가사항 일반적 주의 — 전해질장애 저칼륨혈증 (히드로클로로티아지드 id19와 동일 class 문구). 국내 트리클로르메티아지드 품목 다수 유통,none(0),0,0,0,needs_source,트리클로르메티아지드 국내 대표 품목 허가사항 원문 저칼륨혈증 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 칼륨 임의보충 위험,3,3,P2,트리클로르메티아지드 품목 itemSeq 확인 후 저칼륨혈증 문구 재fetch,true
F-FQ-01,목시플록사신 × 칼슘 동시복용 흡수 영향 가설(미확정),플루오로퀴놀론,목시플록사신,칼슘,absorption,24;25;46,"허가사항 상호작용(목시 id24/25/46는 철·Mg·아연만, 칼슘 동거어 개별 확인)",none(0),6,0,1,source_check_needed,목시플록사신 대표 품목(리목스정 itemSeq 201402438 등) 상호작용란에서 칼슘 함유 제제 동거어 직접 확인. 목시는 Fe/Mg/Zn/Al 킬레이션 위주라 칼슘 명시 여부 불확실→동거어 없으면 채택 금지.,low,enrichment_zero_new_coverage; calcium_chelation_uncertain_for_moxi,2,1,P2,목시 허가사항 칼슘 동거어 확인. 있으면 다른 퀴놀론과 칼슘 정합. 없으면 reject(목시 칼슘 약함).,true
F-FQ-02,레보티록신 × 마그네슘 동시복용 흡수 영향 가설(미확정),갑상선호르몬(기존 covered),레보티록신,마그네슘,absorption,10;11,"허가사항 상호작용(레보티록신 id10/11은 칼슘·철만, 마그네슘 동거어 확인)",none(0),17,0,1,source_check_needed,레보티록신 대표 품목(씬지로이드 itemSeq 201903264 등) 상호작용란에서 마그네슘 함유 제산제 동거어 직접 확인. 마그네슘은 칼슘·철과 함께 제산제 문맥에 동거 가능성.,low,enrichment_zero_new_coverage,2,1,P2,레보티록신 허가사항 마그네슘 동거어 확인. 있으면 id10/11과 정합 enrichment. 없으면 reject.,true
D-CORT-07,코르티코스테로이드 × 비타민D/칼슘 대사 (장기 투여),전신 코르티코스테로이드 (systemic corticosteroid),메틸프레드니솔론,칼슘,absorption,,허가사항 일반적 주의 — 장기 투여 시 칼슘 흡수 저하·골소실. 직접 '칼슘 결핍' 문구 강도 변동 가능,high(73),73,73,0,candidate_only,메틸프레드니솔론 허가사항 칼슘/골대사 직접 문구 확인. 미확인 시 literature_only,moderate,처방약 부작용을 보충제 정보로 오인 금지; 복용지시/예방주장 어휘 금지; D-CORT-02(프레드니솔론×Ca)와 표현 통일 필요,2,2,P3,메틸프레드니솔론 허가사항 칼슘 대사 문구 확인 (D-CORT-03과 동시 fetch),true
F-CEPH-04,세프프로질 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(2세대),세프프로질,철분,absorption,42,허가사항 상호작용(성분별 개별 확인 필요),medium(32),32,32,0,needs_source,세프프로질 대표 품목 nedrug getItemDetail 상호작용란 철분/양이온 동거어 확인. 철 킬레이션 근거 약함→동거어 없으면 채택 금지.,low,class_generalization_forbidden; per_ingredient_source_required; iron_chelation_weak,2,2,P3,세프프로질 허가사항 fetch→철 동거어 검색. 없으면 reject.,true
F-CEPH-05,세픽심 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(3세대),세픽심,철분,absorption,42,허가사항 상호작용(성분별 개별 확인 필요),medium(26),26,26,0,needs_source,세픽심 대표 품목 nedrug getItemDetail 상호작용란 철분 동거어 확인.,low,class_generalization_forbidden; per_ingredient_source_required,2,2,P3,세픽심 허가사항 fetch→철 동거어 검색. 없으면 reject.,true
D-CORT-04,코르티코스테로이드 × 칼륨,전신 코르티코스테로이드 (systemic corticosteroid),덱사메타손,칼륨,depletion,17;19,허가사항 이상반응 — 저칼륨혈증 (스테로이드 class). 덱사메타손은 미네랄코르티코이드 작용 약함 — 문구 강도 변동 가능,medium(22),22,22,0,source_check_needed,덱사메타손 허가사항 저칼륨혈증 직접 문구 확인. 미네랄코르티코이드 작용 약해 문구 누락 시 candidate_only 강등,moderate,potassium_safety_card 승계 필요(승격 시); 덱사메타손은 저칼륨 위험 상대적 낮음 — 근거 강도 확인,2,2,P3,덱사메타손 허가사항 저칼륨 문구 강도 확인 (다른 스테로이드와 비교),true
F-CEPH-06,세프라딘 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(1세대),세프라딘,철분,absorption,42,허가사항 상호작용(성분별 개별 확인 필요),medium(16),16,16,0,needs_source,세프라딘 대표 품목 nedrug getItemDetail 상호작용란 철분 동거어 확인.,low,class_generalization_forbidden; per_ingredient_source_required; iron_chelation_weak,1,2,P3,세프라딘 허가사항 fetch→철 동거어 검색. 없으면 reject.,true
F-CEPH-07,세프카펜 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(3세대),세프카펜,철분,absorption,42,허가사항 상호작용(성분별 개별 확인 필요),low(6),6,6,0,needs_source,세프카펜피복실 대표 품목 nedrug getItemDetail 상호작용란 철분 동거어 확인.,low,class_generalization_forbidden; per_ingredient_source_required,1,1,P3,세프카펜 허가사항 fetch→철 동거어 검색. 없으면 reject.,true
F-CEPH-08,세프디토렌 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(3세대),세프디토렌,철분,absorption,42,허가사항 상호작용(성분별 개별 확인 필요),low(5),5,5,0,needs_source,세프디토렌피복실 대표 품목 nedrug getItemDetail 상호작용란 철분/제산제 동거어 확인. 흡수 위산의존적.,low,class_generalization_forbidden; per_ingredient_source_required,1,1,P3,세프디토렌 허가사항 fetch→철 동거어 검색. 없으면 reject.,true
D-CORT-05,코르티코스테로이드 × 칼륨,전신 코르티코스테로이드 (systemic corticosteroid),하이드로코르티손,칼륨,depletion,17;19,허가사항 이상반응 — 저칼륨혈증 (미네랄코르티코이드 작용 상대적 강함). 전신 제형 한정,none(0),0,0,0,needs_source,하이드로코르티손 전신(경구/주사) 품목 허가사항 저칼륨혈증 문구 + itemSeq (국소제형 제외),moderate,potassium_safety_card 승계 필요(승격 시); 국소/외용 제형은 제외 — 전신 제형만 한정,2,2,P3,하이드로코르티손 전신 제형 품목 식별 후 저칼륨 문구 fetch,true
D-CORT-06,광물부신피질호르몬 × 칼륨 (강한 미네랄코르티코이드),미네랄코르티코이드 (mineralocorticoid),플루드로코르티손,칼륨,depletion,17;19,허가사항 경고/이상반응 — 저칼륨혈증(강한 미네랄코르티코이드 작용으로 명확). 부신기능저하 적응증,none(0),0,0,0,needs_source,플루드로코르티손 국내 품목 허가사항 저칼륨혈증 문구 + itemSeq (국내 유통 여부 확인),moderate,potassium_safety_card 승계 필요(승격 시); 좁은 적응증(부신부전)으로 사용자 수 적음,2,2,P3,플루드로코르티손 국내 품목 존재 + 저칼륨 문구 확인 — 없으면 hold,true
D-LOOP-02,루프이뇨제 잔여 × 마그네슘,루프이뇨제 (loop diuretic),부메타니드,마그네슘,depletion,18;31,"허가사항 이상반응 — 저마그네슘혈증 (루프 class, 푸로세미드 id18 동일 패턴)",none(0),0,0,0,source_check_needed,부메타니드 허가사항 저마그네슘혈증 직접 문구 확인. 미확인 시 candidate_only,low,Mg는 칼륨카드 불필요; 모니터링 방향,2,2,P3,부메타니드 허가사항 Mg 문구 확인 (D-LOOP-01과 동시 fetch),true
D-LOOP-03,루프이뇨제 잔여 × 칼륨,루프이뇨제 (loop diuretic),피레타니드,칼륨,depletion,17;30,허가사항 이상반응 — 저칼륨혈증 (루프 class 문구). 국내 유통 확인 필요,none(0),0,0,0,needs_source,피레타니드 국내 허가 품목 존재 여부 + 허가사항 저칼륨혈증 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 국내 유통 확인 우선,2,2,P3,피레타니드 국내 품목 존재 확인 — 없으면 hold 전환,true
D-LOOP-05,루프이뇨제 잔여(국내 유통) × 마그네슘,루프이뇨제 (loop diuretic),아조세미드,마그네슘,depletion,18;31,허가사항 이상반응 — 저마그네슘혈증 (루프 class 패턴),none(0),0,0,0,source_check_needed,아조세미드 허가사항 저마그네슘혈증 직접 문구 확인. 미확인 시 candidate_only,low,Mg는 칼륨카드 불필요; 모니터링 방향,2,2,P3,아조세미드 허가사항 Mg 문구 확인 (D-LOOP-04와 동시 fetch),true
D-THY-01,갑상선호르몬 × 아연 (흡수 영향),갑상선호르몬 (thyroid hormone),레보티록신,아연,absorption,10;11,literature_only — 다가 양이온(아연) 동시 복용 시 레보티록신 흡수 저하 가능성. 레보티록신×마그네슘은 reject 기록 있음 — 아연도 허가사항 직접 문구 미확인 가능성 높음,none(0),17,0,1,candidate_only,레보티록신 국내 허가사항에 아연(또는 다가 양이온 일반) 흡수 저하 직접 문구 유무 확인. Mg가 reject된 전례 고려 — 미확인 시 reject 처리,low,레보티록신×Mg reject 전례 — 아연도 허가사항 직접 문구 없으면 동일 reject 가능성 높음. 자동 채택 금지,2,2,P3,레보티록신 허가사항 상호작용 항에서 아연/다가양이온 문구 확인 — 없으면 reject,true
D-THY-02,갑상선호르몬 잔여(T3) × 칼슘 흡수,"갑상선호르몬 (thyroid hormone, T3)",리오티로닌,칼슘,absorption,10,literature_only — T3도 칼슘제 동시 복용 시 흡수 저하 가능성(T4 레보티록신 id10 유추). 국내 리오티로닌 단일제 유통 제한적,none(0),0,0,0,candidate_only,리오티로닌 국내 허가 품목 존재 여부 먼저 확인 + 허가사항 칼슘/흡수 문구. 품목 없으면 hold,low,국내 유통 불확실; 레보티록신 class 유추는 source 아님 — 직접 문구 필수,1,1,P3,리오티로닌 국내 품목 존재 확인 — 없으면 hold,true
D-THY-03,갑상선호르몬 잔여(T3) × 철분 흡수,"갑상선호르몬 (thyroid hormone, T3)",리오티로닌,철분,absorption,11,literature_only — 철분제 동시 복용 시 갑상선호르몬 흡수 저하(레보티록신 id11 유추),none(0),0,0,0,candidate_only,리오티로닌 국내 허가 품목 + 허가사항 철분/흡수 문구. 품목 없으면 hold,low,국내 유통 불확실; class 유추는 source 아님,1,1,P3,리오티로닌 국내 품목 존재 확인 — 없으면 hold (D-THY-02와 일괄),true
D-THZ-02,치아지드유사 이뇨제 잔여 × 마그네슘,치아지드유사 이뇨제 (thiazide-like diuretic),메토라존,마그네슘,depletion,20;54;56,허가사항 이상반응 — 저마그네슘혈증 (치아지드 class 문구 예상). literature_only 보조 가능성,none(0),0,0,0,source_check_needed,메토라존 허가사항에서 저마그네슘혈증 직접 문구 확인. 미확인 시 candidate_only 강등,low,Mg는 칼륨카드 불필요; 모니터링 방향,2,2,P3,메토라존 허가사항 Mg 문구 확인 (D-THZ-01과 동일 품목 fetch 시 동시 처리),true
D-THZ-04,치아지드 잔여(국내 유통) × 마그네슘,치아지드 이뇨제 (thiazide diuretic),트리클로르메티아지드,마그네슘,depletion,20;54;56,허가사항 이상반응 — 저마그네슘혈증 (치아지드 class 문구 예상),none(0),0,0,0,source_check_needed,트리클로르메티아지드 허가사항 저마그네슘혈증 직접 문구 확인. 미확인 시 candidate_only,low,Mg는 칼륨카드 불필요; 모니터링 방향,2,2,P3,트리클로르메티아지드 허가사항 Mg 문구 확인 (D-THZ-03과 동시 fetch),true
D-THZ-05,치아지드 잔여 × 칼륨,치아지드 이뇨제 (thiazide diuretic),벤드로플루메티아지드,칼륨,depletion,19;53;55,literature_only — 치아지드 class 저칼륨혈증. 국내 단일제 유통 불확실(복합제 가능),none(0),0,0,0,candidate_only,벤드로플루메티아지드 국내 허가 품목(단일/복합) 존재 여부 먼저 확인 — 없으면 hold,moderate,potassium_safety_card 승계 필요(승격 시); 국내 유통 미확인으로 가치 낮음,1,2,P3,국내 허가 품목 존재 확인 — 없으면 hold 전환,true
F-STA-01,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),로수바스타틴,코엔자임Q10,depletion,,literature_only — 한국 식약처 허가사항 미기재 예상. 기존 큐 Q12/E13 대응.,very_high(472),472,472,1,needs_source,이차문헌(CoQ10 고갈 보고) 또는 허가사항 동거어 점검(예상=허가사항 missing). source-policy 결정의 입력으로만 사용.,moderate,literature_only_source; coq10_supplement_tone_risk; new_class; source_gate_uncertain; name_only_472,4,3,hold,후보 분류만. 허가사항 동거어 점검(예상 missing) 후 source-policy 결정 입력. 단독 채택·source확인 승격 금지. do_not_implement_yet=true.,true
F-STA-02,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),아토르바스타틴,코엔자임Q10,depletion,,literature_only — 한국 허가사항 미기재 예상. 기존 큐 Q13/E14 대응.,very_high(267),267,267,1,needs_source,이차문헌 또는 허가사항 점검(예상=missing).,moderate,literature_only_source; coq10_supplement_tone_risk; new_class; source_gate_uncertain; name_only_267,4,3,hold,F-STA-01과 동일. source-policy 결정 전 채택 금지. do_not_implement_yet=true.,true
D-SGLT2-01,SGLT2 억제제 × 마그네슘 (이뇨 유사/근거 약),SGLT2 억제제 (SGLT2 inhibitor),다파글리플로진,마그네슘,depletion,18;31;54,literature_only — SGLT2 억제제가 혈청 Mg를 오히려 상승시킨다는 보고가 우세(삼투성 이뇨에도 Mg는 증가 경향). depletion 방향 근거 약함,high(195),195,195,1,candidate_only,허가사항에 Mg 관련 직접 문구 거의 없음 예상 — 방향이 오히려 상승일 수 있어 depletion 후보로 부적합. 근거 재검토 필요,low,방향성 불명확(상승 보고 우세) — depletion 가정 잘못일 수 있음. 근거 확인 전 채택 금지,1,1,hold,Mg 방향성(상승 vs 고갈) 문헌 재확인 — 상승이면 후보 폐기,true
F-APL-02,항혈소판 x 비타민K/영양소,항혈소판제,클로피도그렐,비타민K,antagonism,,N/A — 항혈소판·임상판단·출혈주의. seed 111번에 존재.,high(158),158,158,1,candidate_only,N/A — source 확인 금지.,high,antiplatelet; bleeding_risk; clinical_judgment_required; sensitive; high_risk; name_only_158,4,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-STA-04,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),피타바스타틴,코엔자임Q10,depletion,,literature_only — 한국 허가사항 미기재 예상. 기존 큐 Q14/E15 대응.,high(150),150,150,1,needs_source,이차문헌 또는 허가사항 점검(예상 missing).,moderate,literature_only_source; coq10_supplement_tone_risk; new_class; source_gate_uncertain,3,2,hold,F-STA-01과 동일. do_not_implement_yet=true.,true
F-APL-03,항혈소판 x 비타민K/영양소,항혈소판제,실로스타졸,비타민K,antagonism,,N/A — 항혈소판·출혈주의. seed 117번에 존재.,high(132),132,132,1,candidate_only,N/A — source 확인 금지.,high,antiplatelet; bleeding_risk; clinical_judgment_required; sensitive; high_risk,2,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-AP-01,항정신병약 x 영양소(민감군),항정신병약(정신건강),쿠에티아핀,비타민D,unknown,,N/A — 민감군·근거 불충분(Q18 정책). seed 105번에 존재.,high(130),130,130,1,candidate_only,N/A — clinical reviewer 트랙에서만.,high,mental_health_sensitive; evidence_insufficient; clinical_judgment_required; high_risk,2,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-DOAC-01,항응고(DOAC) x 비타민K/영양소,직접 경구 항응고제(DOAC),리바록사반,비타민K,antagonism,,N/A — 항응고·임상판단·출혈위험 영역(Q16 정책 확장). seed 112번에 존재.,high(129),129,129,1,candidate_only,N/A — source 확인 금지.,high,anticoagulant; clinical_judgment_required; bleeding_risk; sensitive; high_risk,4,1,hold,후보화 금지. 임상판단·출혈위험 영역. do_not_implement_yet=true.,true
F-H2-01,H2차단제 x 비타민B12,H2 수용체 차단제,파모티딘,비타민B12,depletion,,허가사항 — A티어 source 확인서 결과 미기재(missing) 확정군(구 Q15/E07). 위산억제→B12 기전은 PPI에 인접하나 라벨 동거 없음.,high(118),118,118,1,candidate_only,신규 source 확인 불필요(이미 missing 확정). source-policy(이차문헌 허용) 결정 시에만 재검토.,moderate,a_tier_source_missing_confirmed; acid_suppression_adjacent_mechanism; not_label_co_listed; long_term_use_only; name_only_118,3,2,hold,후보 분류만. PPI gate와 달리 허가사항 근거 약함(missing 확정) → source-policy 결정 전 보류. do_not_implement_yet=true.,true
F-STA-03,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),심바스타틴,코엔자임Q10,depletion,,literature_only — 한국 허가사항 미기재 예상. 기존 큐 Q14/E16 대응.,high(115),115,115,1,needs_source,이차문헌 또는 허가사항 점검(예상 missing).,moderate,literature_only_source; coq10_supplement_tone_risk; new_class; source_gate_uncertain,3,2,hold,F-STA-01과 동일. do_not_implement_yet=true.,true
D-SGLT2-02,SGLT2 억제제 × 마그네슘 (근거 약),SGLT2 억제제 (SGLT2 inhibitor),엠파글리플로진,마그네슘,depletion,18;31;54,literature_only — D-SGLT2-01과 동일. Mg 상승 보고 우세로 depletion 부적합 가능성,high(108),108,108,1,candidate_only,방향성 재확인 — D-SGLT2-01과 일괄 처리,low,방향성 불명확 — depletion 가정 잘못일 수 있음,1,1,hold,Mg 방향성 재확인 후 일괄 폐기/유지 결정 (D-SGLT2-01과 함께),true
F-SSRI-01,SSRI x 영양소(민감군),선택적 세로토닌 재흡수 억제제(정신건강),에스시탈로프람,마그네슘,unknown,,N/A — 민감군·근거 불충분·개인차(Q18 정책). seed 102번에 존재.,high(103),103,103,1,candidate_only,N/A — clinical reviewer 트랙에서만 별도 검토.,high,mental_health_sensitive; evidence_insufficient; clinical_judgment_required; high_risk; name_only_103,3,1,hold,후보화 금지. 필요 시 clinical reviewer 트랙에서만. do_not_implement_yet=true.,true
F-DOAC-02,항응고(DOAC) x 비타민K/영양소,직접 경구 항응고제(DOAC),아픽사반,비타민K,antagonism,,N/A — 항응고·임상판단 영역.,high(67),67,67,0,candidate_only,N/A — source 확인 금지.,high,anticoagulant; clinical_judgment_required; bleeding_risk; sensitive; high_risk,3,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-H2-02,H2차단제 x 비타민B12,H2 수용체 차단제,라푸티딘,비타민B12,depletion,,허가사항 missing 확정(구 Q15/E09 A티어 확인서).,medium(48),48,48,1,candidate_only,source-policy 결정 시에만 재검토. missing 확정.,moderate,a_tier_source_missing_confirmed; acid_suppression_adjacent_mechanism; not_label_co_listed,3,2,hold,F-H2-01과 동일. do_not_implement_yet=true.,true
F-H2-03,H2차단제 x 비타민B12,H2 수용체 차단제,니자티딘,비타민B12,depletion,,허가사항 missing 확정(구 Q15/E10 A티어 확인서).,medium(48),48,48,1,candidate_only,source-policy 결정 시에만 재검토. missing 확정.,moderate,a_tier_source_missing_confirmed; acid_suppression_adjacent_mechanism; not_label_co_listed,3,2,hold,F-H2-01과 동일. do_not_implement_yet=true.,true
F-DOAC-04,항응고(DOAC) x 비타민K/영양소,직접 경구 항응고제(DOAC),에독사반,비타민K,antagonism,,N/A — 항응고·임상판단 영역.,medium(41),41,41,0,candidate_only,N/A — source 확인 금지.,high,anticoagulant; clinical_judgment_required; bleeding_risk; sensitive; high_risk,3,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-BZD-01,벤조/수면제 x 영양소(민감군),벤조디아제핀/수면제(정신건강),알프라졸람,마그네슘,unknown,,N/A — 민감군·근거 불충분(Q18 정책). seed 104번에 존재.,medium(27),27,27,1,candidate_only,N/A — clinical reviewer 트랙에서만.,high,mental_health_sensitive; evidence_insufficient; clinical_judgment_required; high_risk,2,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-SSRI-02,SSRI x 영양소(민감군),선택적 세로토닌 재흡수 억제제(정신건강),설트랄린,마그네슘,unknown,,N/A — 민감군·근거 불충분(Q18 정책). seed 103번에 존재.,medium(21),21,21,1,candidate_only,N/A — clinical reviewer 트랙에서만.,high,mental_health_sensitive; evidence_insufficient; clinical_judgment_required; high_risk,3,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-BZD-02,벤조/수면제 x 영양소(민감군),벤조디아제핀/수면제(정신건강),졸피뎀,마그네슘,unknown,,N/A — 민감군·근거 불충분(Q18 정책). seed 101번에 존재.,medium(16),16,16,1,candidate_only,N/A — clinical reviewer 트랙에서만.,high,mental_health_sensitive; evidence_insufficient; clinical_judgment_required; high_risk,2,1,hold,후보화 금지. do_not_implement_yet=true.,true
F-STA-05,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),프라바스타틴,코엔자임Q10,depletion,,literature_only — 한국 허가사항 미기재 예상. 잔여 스타틴 묶음.,medium(11),11,11,1,candidate_only,이차문헌 또는 허가사항 점검(예상 missing).,moderate,literature_only_source; coq10_supplement_tone_risk; new_class; source_gate_uncertain; lower_recognition,2,2,hold,F-STA-01과 동일. 잔여 스타틴 묶음으로 최저우선. do_not_implement_yet=true.,true
F-OC-01,경구피임 x 영양소(여성건강 민감군),경구피임 성분(여성건강),드로스피레논,엽산,unknown,,N/A — 민감군·근거 불충분·개인차(Q18 정책). seed 100번에 존재.,low(9),9,9,1,candidate_only,N/A — clinical reviewer 트랙에서만.,high,womens_health_sensitive; evidence_insufficient; clinical_judgment_required; high_risk,3,1,hold,후보화 금지. 여성건강 민감군. do_not_implement_yet=true.,true
