seed_rank,query_name,seed_category,matched_status,matched_item_seq,matched_item_name,matched_ingredient_name,matched_relation_id,relation_title,display_mode,matched_total,matched_relation_card_count,matched_name_only_count,match_method,confidence,reason,next_action
15,암브록솔,감기약/종합감기약,name_only_only,199804331,넥스팜염산암부록솔정(암브록솔염산염),아세브로필린(아세필린산암브록솔);암브록솔염산염;암브록솔염산염/클렌부테롤염산염;클렌부테롤염산염/암브록솔염산염,,,name_only,44,0,44,ingredient_substring,medium,"ingredient_substring: name_only 44건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
16,아세틸시스테인,감기약/종합감기약,name_only_only,198600267,누코미트액(아세틸시스테인),아세틸시스테인,,,name_only,82,0,82,ingredient_exact,high,"ingredient_exact: name_only 82건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
17,브롬헥신,감기약/종합감기약,name_only_only,202501849,맥시부펜노즈연질캡슐,L-카르보시스테인/브롬헥신염산염;브롬헥신염산염;아세트아미노펜/구아이페네신/덱스트로메토르판브롬화수소산염수화물/DL-메틸에페드린염산염/브롬헥신염산염;아세트아미노펜/구아이페네신/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염/DL-메틸에페드린염산염/브롬헥신염산염;아세트아미노펜/구아이페네신/클로페라스틴염산염/브롬헥신염산염/L-카르보시스테인,,,name_only,24,0,24,ingredient_substring,medium,"ingredient_substring: name_only 24건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
18,레보드로프로피진,감기약/종합감기약,name_only_only,201900300,건일레보드로프로피진시럽,레보드로프로피진,,,name_only,119,0,119,ingredient_exact,high,"ingredient_exact: name_only 119건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
19,오메프라졸,소화제/위장약/PPI/H2,relation_card_covered,200302518,대한뉴팜오엠프라졸캡슐(오메프라졸),오메프라졸,13;14,오메프라졸×마그네슘; 오메프라졸×비타민B12,relation_card,42,42,0,ingredient_exact,high,ingredient_exact: relation_card 42건 + name_only 0건 — 이미 참고정보 표시,no_action (already covered)
20,에스오메프라졸,소화제/위장약/PPI/H2,missing_from_full_index,,,,,,,0,0,0,none,n/a,인덱스에 매칭 품목 없음 (정규/alias/성분/브랜드 모두 불일치),full_index_expansion_candidate (별도 트랙)
21,판토프라졸,소화제/위장약/PPI/H2,name_only_only,201206431,글로판토프라주40mg(판토프라졸나트륨세스키히드레이트),에스-판토프라졸나트륨삼수화물;판토프라졸나트륨세스키히드레이트,,,name_only,45,0,45,ingredient_substring,medium,"ingredient_substring: name_only 45건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
22,란소프라졸,소화제/위장약/PPI/H2,name_only_only,201208079,란가톤캡슐15밀리그램(란소프라졸),란소프라졸,,,name_only,10,0,10,ingredient_exact,high,"ingredient_exact: name_only 10건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
23,라베프라졸,소화제/위장약/PPI/H2,name_only_only,201405854,경보라베프라졸정10mg(라베프라졸나트륨),라베프라졸나트륨;라베프라졸나트륨/산화마그네슘;라베프라졸나트륨/아스피린;라베프라졸나트륨/침강탄산칼슘;라베프라졸나트륨/탄산수소나트륨,,,name_only,216,0,216,ingredient_substring,medium,"ingredient_substring: name_only 216건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
24,덱스란소프라졸,소화제/위장약/PPI/H2,name_only_only,201802450,덱시라졸캡슐30밀리그램(덱스란소프라졸),덱스란소프라졸,,,name_only,4,0,4,ingredient_exact,high,"ingredient_exact: name_only 4건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
25,파모티딘,소화제/위장약/PPI/H2,name_only_only,200109233,가스터디정20㎎(파모티딘),파모티딘,,,name_only,106,0,106,ingredient_exact,high,"ingredient_exact: name_only 106건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
26,라푸티딘,소화제/위장약/PPI/H2,name_only_only,201302935,광동라푸티딘정,라푸티딘,,,name_only,48,0,48,ingredient_exact,high,"ingredient_exact: name_only 48건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
27,니자티딘,소화제/위장약/PPI/H2,name_only_only,200102170,나이시드캡슐150㎎(니자티딘),니자티딘,,,name_only,48,0,48,ingredient_exact,high,"ingredient_exact: name_only 48건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
28,모사프리드,소화제/위장약/PPI/H2,name_only_only,202002825,가나모티에스알정15밀리그램(모사프리드시트르산염수화물),모사프리드시트르산염;모사프리드시트르산염수화물;모사프리드시트르산염이수화물;모사프리드시트산염이수화물,,,name_only,173,0,173,ingredient_substring,medium,"ingredient_substring: name_only 173건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
29,돔페리돈,소화제/위장약/PPI/H2,name_only_only,199600830,그린큐액(돔페리돈),돔페리돈,,,name_only,6,0,6,ingredient_exact,high,"ingredient_exact: name_only 6건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
30,이토프리드,소화제/위장약/PPI/H2,name_only_only,199600267,가나칸정50밀리그램(이토프리드염산염),이토프리드염산염,,,name_only,42,0,42,ingredient_substring,medium,"ingredient_substring: name_only 42건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
31,레바미피드,소화제/위장약/PPI/H2,name_only_only,202503221,가바민서방정150밀리그램(레바미피드),레바미피드,,,name_only,149,0,149,ingredient_exact,high,"ingredient_exact: name_only 149건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
32,트리메부틴,소화제/위장약/PPI/H2,name_only_only,198000169,포리부틴드라이시럽(트리메부틴),트리메부틴,,,name_only,1,0,1,ingredient_exact,high,"ingredient_exact: name_only 1건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
33,판크레아틴,소화제/위장약/PPI/H2,name_only_only,202600926,뉴아제정,디메티콘/판크레아틴/브로멜라인;디메티콘/판크레아틴/우담즙 건조엑스/디메치콘/셀룰라제;디아스타제·프로테아제N1/락토바실루스스포로게네스균/d-비오틴/판크레아틴장용과립/시메티콘산;디아스타제·프로테아제N1/락토바실루스스포로게네스균/리파제/판크레아틴 장용과립/시메티콘산;디아스타제·프로테아제·셀룰라제/리파제/판프로신/판셀라제/판크레아틴장용과립/우르소데옥시콜산/시메티콘,,,name_only,87,0,87,ingredient_substring,medium,"ingredient_substring: name_only 87건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
34,세티리진,항히스타민/알레르기약,name_only_only,202201616,경남세티리진정(세티리진염산염),레보세티리진염산염;레보세티리진염산염/몬테루카스트나트륨;레보세티리진염산염/슈도에페드린염산염;몬테루카스트나트륨/레보세티리진염산염;세티리진염산염,,,name_only,186,0,186,ingredient_substring,medium,"ingredient_substring: name_only 186건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
35,레보세티리진,항히스타민/알레르기약,name_only_only,200806913,네오세틴액(레보세티리진염산염),레보세티리진염산염;레보세티리진염산염/몬테루카스트나트륨;레보세티리진염산염/슈도에페드린염산염;몬테루카스트나트륨/레보세티리진염산염;슈도에페드린염산염/레보세티리진염산염,,,name_only,123,0,123,ingredient_substring,medium,"ingredient_substring: name_only 123건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
36,로라타딘,항히스타민/알레르기약,name_only_only,199802138,넬슨로라타딘정,로라타딘,,,name_only,20,0,20,ingredient_exact,high,"ingredient_exact: name_only 20건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
37,펙소페나딘,항히스타민/알레르기약,name_only_only,202501961,네오펙소정120밀리그램(펙소페나딘염산염),펙소페나딘염산염;펙소페나딘염산염/슈도에페드린염산염,,,name_only,44,0,44,ingredient_substring,medium,"ingredient_substring: name_only 44건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
38,베포타스틴,항히스타민/알레르기약,name_only_only,201704729,가리온정10밀리그램(베포타스틴베실산염),베포타스틴니코틴산염;베포타스틴베실산염;베포타스틴살리실산염;베포타스틴칼슘이수화물,,,name_only,111,0,111,ingredient_substring,medium,"ingredient_substring: name_only 111건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
39,에바스틴,항히스타민/알레르기약,name_only_only,201908631,건바스틴정10밀리그램(에바스틴),에바스틴,,,name_only,8,0,8,ingredient_exact,high,"ingredient_exact: name_only 8건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
40,올로파타딘,항히스타민/알레르기약,name_only_only,201504234,"라이트올론점안액0.2%(올로파타딘염산염), 라이트올론점안액0.2%(올로파타딘염산염)(1회용)",올로파타딘염산염;올로파타딘염산염/모메타손푸로에이트일수화물,,,name_only,101,0,101,ingredient_substring,medium,"ingredient_substring: name_only 101건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
41,암로디핀,혈압약/ARB/CCB/이뇨제,name_only_only,201906902,가두에정5/10밀리그램,S-암로디핀베실산염2.5수화물;S-암로디핀베실산염2.5수화물/발사르탄/인다파미드;로사르탄칼륨/암로디핀베실산염;로사르탄칼륨/암로디핀캄실산염;로사르탄칼륨/에제티미브/암로디핀베실산염/로수바스타틴칼슘,,,name_only,667,0,667,ingredient_substring,medium,"ingredient_substring: name_only 667건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
42,텔미사르탄,혈압약/ARB/CCB/이뇨제,name_only_only,201804331,네오텔미정40밀리그램(텔미사르탄),텔미사르탄,,,name_only,59,0,59,ingredient_exact,high,"ingredient_exact: name_only 59건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
43,발사르탄,혈압약/ARB/CCB/이뇨제,name_only_only,201602897,네오반정160밀리그램(발사르탄),발사르탄,,,name_only,87,0,87,ingredient_exact,high,"ingredient_exact: name_only 87건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
44,로사르탄,혈압약/ARB/CCB/이뇨제,name_only_only,200500391,국제로잘탄정50밀리그램(로사르탄칼륨),로사르탄칼륨;로사르탄칼륨/암로디핀베실산염;로사르탄칼륨/암로디핀캄실산염;로사르탄칼륨/에제티미브/암로디핀베실산염/로수바스타틴칼슘;암로디핀베실산염/로사르탄칼륨,,,name_only,168,0,168,ingredient_substring,medium,"ingredient_substring: name_only 168건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
45,칸데사르탄,혈압약/ARB/CCB/이뇨제,name_only_only,200908367,고려칸데사르탄정16밀리그램(칸데사르탄실렉세틸),로수바스타틴칼슘/칸데사르탄실렉세틸;암로디핀베실산염/칸데사르탄실렉세틸;칸데사르탄실렉세틸;칸데사르탄실렉세틸/S-암로디핀베실산염2.5수화물;칸데사르탄실렉세틸/로수바스타틴칼슘,,,name_only,124,0,124,ingredient_substring,medium,"ingredient_substring: name_only 124건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
46,올메사르탄,혈압약/ARB/CCB/이뇨제,name_only_only,201601778,뉴비카정10/40mg,로수바스타틴칼슘/올메사르탄메독소밀;암로디핀베실산염/올메사르탄메독소밀;올메사르탄메독소밀;올메사르탄메독소밀/로수바스타틴칼슘;올메사르탄메독소밀/암로디핀베실산염,,,name_only,142,0,142,ingredient_substring,medium,"ingredient_substring: name_only 142건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
47,이르베사르탄,혈압약/ARB/CCB/이뇨제,name_only_only,201707330,셀프로벨정150밀리그램(이르베사르탄),이르베사르탄,,,name_only,18,0,18,ingredient_exact,high,"ingredient_exact: name_only 18건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
48,피마사르탄,혈압약/ARB/CCB/이뇨제,name_only_only,202300140,건카브정30/2.5밀리그램,에스암로디핀베실산염이수화물/피마사르탄칼륨삼수화물;에제티미브/피마사르탄칼륨삼수화물/아토르바스타틴칼슘;피마사르탄칼륨삼수화물;피마사르탄칼륨삼수화물 과립/암로디핀베실산염/로수바스타틴칼슘(미분화);피마사르탄칼륨삼수화물/에스암로디핀베실산염2.5수화물,,,name_only,114,0,114,ingredient_substring,medium,"ingredient_substring: name_only 114건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
49,라미프릴,혈압약/ARB/CCB/이뇨제,name_only_only,200500140,하트프릴정2.5밀리그램(라미프릴),라미프릴,,,name_only,2,0,2,ingredient_exact,high,"ingredient_exact: name_only 2건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
50,페린도프릴,혈압약/ARB/CCB/이뇨제,name_only_only,200710634,아서틸아르기닌정10밀리그램(페린도프릴아르기닌),페린도프릴-t-부틸아민;페린도프릴아르기닌;페린도프릴아르기닌/인다파미드,,,name_only,6,0,6,ingredient_substring,medium,"ingredient_substring: name_only 6건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
51,히드로클로로티아지드,혈압약/ARB/CCB/이뇨제,relation_card_covered,200209850,미카르디스플러스정40/12.5밀리그램,히드로클로로티아지드,19;20,히드로클로로티아지드×마그네슘; 히드로클로로티아지드×칼륨,relation_card,113,113,0,ingredient_exact,high,ingredient_exact: relation_card 113건 + name_only 0건 — 이미 참고정보 표시,no_action (already covered)
52,클로르탈리돈,혈압약/ARB/CCB/이뇨제,name_only_only,202500118,클로베네정25밀리그램(클로르탈리돈),클로르탈리돈,,,name_only,2,0,2,ingredient_exact,high,"ingredient_exact: name_only 2건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
53,인다파미드,혈압약/ARB/CCB/이뇨제,name_only_only,199900835,나트릭스서방정(인다파미드),인다파미드,,,name_only,3,0,3,ingredient_exact,high,"ingredient_exact: name_only 3건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
54,푸로세미드,혈압약/ARB/CCB/이뇨제,relation_card_covered,197200160,후릭스정(푸로세미드),푸로세미드,17;18,푸로세미드×마그네슘; 푸로세미드×칼륨,relation_card,2,2,0,ingredient_exact,high,ingredient_exact: relation_card 2건 + name_only 0건 — 이미 참고정보 표시,no_action (already covered)
55,토라세미드,혈압약/ARB/CCB/이뇨제,relation_card_covered,200600084,세토람정5밀리그람,토라세미드,30;31,토라세미드×마그네슘; 토라세미드×칼륨,relation_card,6,6,0,ingredient_exact,high,ingredient_exact: relation_card 6건 + name_only 0건 — 이미 참고정보 표시,no_action (already covered)
56,스피로노락톤,혈압약/ARB/CCB/이뇨제,missing_from_full_index,,,,,,,0,0,0,none,n/a,인덱스에 매칭 품목 없음 (정규/alias/성분/브랜드 모두 불일치),full_index_expansion_candidate (별도 트랙)
57,카르베딜롤,혈압약/ARB/CCB/이뇨제,name_only_only,201907207,건카베딜정12.5밀리그램(카르베딜롤),카르베딜롤,,,name_only,73,0,73,ingredient_exact,high,"ingredient_exact: name_only 73건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
58,비소프롤롤,혈압약/ARB/CCB/이뇨제,name_only_only,200400825,베타드렌정(비소프롤롤푸마르산염),비소프롤롤푸마르산염,,,name_only,12,0,12,ingredient_substring,medium,"ingredient_substring: name_only 12건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
59,네비보롤,혈압약/ARB/CCB/이뇨제,name_only_only,202008537,"네비로스타정1.25/5밀리그램(네비보롤,로수바스타틴)",네비보롤염산염/로수바스타틴칼슘(미분화),,,name_only,7,0,7,ingredient_substring,medium,"ingredient_substring: name_only 7건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
60,메트포르민,당뇨약,relation_card_covered,199502215,구루메포민정500mg(메트포르민염산염),메트포르민,12,메트포르민×비타민B12,relation_card,113,113,0,ingredient_exact,high,ingredient_exact: relation_card 113건 + name_only 0건 — 이미 참고정보 표시,no_action (already covered)
61,글리메피리드,당뇨약,name_only_only,202001769,건메피드정2밀리그램(글리메피리드),글리메피리드,,,name_only,136,0,136,ingredient_exact,high,"ingredient_exact: name_only 136건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
62,시타글립틴,당뇨약,name_only_only,202102832,글로시타글정100밀리그램(시타글립틴염산염수화물),다파글리플로진/시타글립틴인산염수화물;다파글리플로진비스L-프롤린/시타글립틴인산염수화물;다파글리플로진프로판디올수화물/시타글립틴인산염수화물;로베글리타존황산염/시타글립틴인산염수화물;시타글립틴염산염수화물,,,name_only,180,0,180,ingredient_substring,medium,"ingredient_substring: name_only 180건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
63,리나글립틴,당뇨약,name_only_only,202003187,글레린정5밀리그램(리나글립틴),리나글립틴,,,name_only,37,0,37,ingredient_exact,high,"ingredient_exact: name_only 37건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
64,빌다글립틴,당뇨약,name_only_only,202102182,가브빌다정50밀리그램(빌다글립틴),빌다글립틴,,,name_only,13,0,13,ingredient_exact,high,"ingredient_exact: name_only 13건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
65,엠파글리플로진,당뇨약,name_only_only,202105608,광동엠파글로정10밀리그램(엠파글리플로진),엠파글리플로진,,,name_only,50,0,50,ingredient_exact,high,"ingredient_exact: name_only 50건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
66,다파글리플로진,당뇨약,name_only_only,202002316,다포진정10밀리그램(다파글리플로진),다파글리플로진,,,name_only,4,0,4,ingredient_exact,high,"ingredient_exact: name_only 4건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
67,글리클라지드,당뇨약,name_only_only,199401029,노디아렉스정(글리클라지드),글리클라지드,,,name_only,6,0,6,ingredient_exact,high,"ingredient_exact: name_only 6건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
68,피오글리타존,당뇨약,name_only_only,200704769,국제피오글리타존정(피오글리타존염산염),다파글리플로진프로판디올수화물/피오글리타존염산염;시타글립틴인산염수화물/피오글리타존염산염;알로글립틴 벤조산염/피오글리타존염산염;염산피오글리타존;피오글리타존염산염,,,name_only,117,0,117,ingredient_substring,medium,"ingredient_substring: name_only 117건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
69,아토르바스타틴,고지혈증약/스타틴,name_only_only,201906902,가두에정5/10밀리그램,아토르바스타틴스트론튬오수화물;아토르바스타틴칼슘;아토르바스타틴칼슘/암로디핀베실산염;아토르바스타틴칼슘/에제티미브;아토르바스타틴칼슘삼수화물,,,name_only,267,0,267,ingredient_substring,medium,"ingredient_substring: name_only 267건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
70,로수바스타틴,고지혈증약/스타틴,name_only_only,202008537,"네비로스타정1.25/5밀리그램(네비보롤,로수바스타틴)",네비보롤염산염/로수바스타틴칼슘(미분화);로사르탄칼륨/에제티미브/암로디핀베실산염/로수바스타틴칼슘;로수바스타틴칼슘;로수바스타틴칼슘(미분화);로수바스타틴칼슘(미분화)/에제티미브,,,name_only,472,0,472,ingredient_substring,medium,"ingredient_substring: name_only 472건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
71,심바스타틴,고지혈증약/스타틴,name_only_only,201800820,뉴심바드정(심바스타틴),심바스타틴,,,name_only,55,0,55,ingredient_exact,high,"ingredient_exact: name_only 55건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
72,프라바스타틴,고지혈증약/스타틴,name_only_only,199300175,메바로친정10밀리그램(프라바스타틴나트륨),페노피브릭산/프라바스타틴나트륨;프라바스타틴나트륨;프라바스타틴나트륨/페노피브레이트,,,name_only,11,0,11,ingredient_substring,medium,"ingredient_substring: name_only 11건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
73,피타바스타틴,고지혈증약/스타틴,name_only_only,202102639,건피타정1밀리그램(피타바스타틴칼슘수화물),미분화페노피브레이트/피타바스타틴칼슘;발사르탄/암로디핀베실산염/피타바스타틴칼슘수화물;에제티미브(미분화)/피타바스타틴칼슘;에제티미브/피타바스타틴칼슘;페노피브레이트(미분화)/피타바스타틴칼슘,,,name_only,150,0,150,ingredient_substring,medium,"ingredient_substring: name_only 150건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
74,에제티미브,고지혈증약/스타틴,name_only_only,201902435,건트롤정10밀리그램(에제티미브),에제티미브,,,name_only,3,0,3,ingredient_exact,high,"ingredient_exact: name_only 3건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
75,페노피브레이트,고지혈증약/스타틴,name_only_only,200702596,글리펜슈프림정(페노피브레이트),페노피브레이트,,,name_only,17,0,17,ingredient_exact,high,"ingredient_exact: name_only 17건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
76,레보티록신,갑상선약,relation_card_covered,200401821,씬지로이드정0.05밀리그램(레보티록신나트륨수화물),레보티록신,10;11,레보티록신×철분; 레보티록신×칼슘,relation_card,17,17,0,ingredient_exact,high,ingredient_exact: relation_card 17건 + name_only 0건 — 이미 참고정보 표시,no_action (already covered)
77,메티마졸,갑상선약,name_only_only,202106231,메티졸정2.5밀리그램(메티마졸),메티마졸,,,name_only,4,0,4,ingredient_exact,high,"ingredient_exact: name_only 4건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
78,프로필티오우라실,갑상선약,name_only_only,197800305,안티로이드정(프로필티오우라실),프로필티오우라실,,,name_only,1,0,1,ingredient_exact,high,"ingredient_exact: name_only 1건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
