rank,ingredient,product_count,therapeutic_class,relation_card,kpi_bucket,reason
40,레보세티리진염산염,99,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
41,콜린알포세레이트,99,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
42,베포타스틴베실산염,97,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
43,이부프로펜,94,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
44,두타스테리드,94,비뇨/전립선,no,safe_name_only,"근거 약함/일반 계열(비뇨/전립선) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
45,레보플록사신,91,항생/항균,yes,covered,"relation_card 보유(base=레보플록사신, relation_card 품목 91건) — source_confirmed 근거 존재"
46,트라마돌염산염/아세트아미노펜,88,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
47,피오글리타존염산염,88,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
48,발사르탄,87,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
49,모메타손푸로에이트,86,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
50,레보설피리드,85,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
51,리바록사반(미분화),85,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
52,아토르바스타틴칼슘삼수화물,84,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
53,아세틸시스테인,82,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
54,세프트리악손나트륨수화물,81,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
55,실데나필시트르산염,77,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
56,다파글리플로진프로판디올수화물,75,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
57,카르베딜롤,73,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
58,시타글립틴염산염수화물,73,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
59,클로피도그렐황산염,72,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
60,에피나스틴염산염,70,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
61,시프로플록사신,69,항생/항균,yes,covered,"relation_card 보유(base=시프로플록사신, relation_card 품목 69건) — source_confirmed 근거 존재"
62,이반드론산나트륨일수화물,69,골다공증,yes,covered,"relation_card 보유(base=이반드론산, relation_card 품목 69건) — source_confirmed 근거 존재"
63,트리메부틴말레산염,65,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
64,발사르탄/암로디핀베실산염,63,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
65,세티리진염산염,63,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
66,텔미사르탄/암로디핀베실산염,62,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
67,록시트로마이신,60,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
68,메틸프레드니솔론,60,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
69,니세르골린,60,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
70,텔미사르탄,59,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
71,로수바스타틴칼슘/에제티미브,59,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
72,아픽사반,59,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
73,피마사르탄칼륨삼수화물/에스암로디핀베실산염2.5수화물,57,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
74,에제티미브/심바스타틴,56,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
75,클로피도그렐황산수소염,55,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
76,심바스타틴,55,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
77,알마게이트,54,소화/위장,yes,covered,"relation_card 보유(base=알마게이트, relation_card 품목 54건) — source_confirmed 근거 존재"
78,알렌드론산,52,골다공증,yes,covered,"relation_card 보유(base=알렌드론산, relation_card 품목 52건) — source_confirmed 근거 존재"
79,리스페리돈,52,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
80,미녹시딜,52,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
81,디클로페낙나트륨,51,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
82,에제티미브/아토르바스타틴칼슘삼수화물,51,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
83,다파글리플로진프로판디올수화물/시타글립틴인산염수화물,51,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
84,플루르비프로펜,51,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
85,칸데사르탄실렉세틸,50,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
86,엠파글리플로진,50,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
87,리바스티그민타르타르산염,50,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
88,니자티딘,48,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
89,라푸티딘,48,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
90,아젤라스틴염산염,48,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
91,리도카인,48,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
92,이트라코나졸고체분산체,47,항진균,no,safe_name_only,"근거 약함/일반 계열(항진균) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
93,암로디핀베실산염/올메사르탄메독소밀,47,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
94,아스피린,47,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
95,보노프라잔푸마르산염,46,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
96,툴로부테롤,46,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
97,엔테카비르,45,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
98,데스모프레신아세트산염,45,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
99,베타메타손발레레이트/겐타마이신황산염,45,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
100,세틸피리디늄염화물,45,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
101,로수바스타틴칼슘/칸데사르탄실렉세틸,44,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
102,판토프라졸나트륨세스키히드레이트,43,소화/위장,yes,covered,"relation_card 보유(base=판토프라졸, relation_card 품목 43건) — source_confirmed 근거 존재"
103,펙소페나딘염산염,43,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
104,테라조신염산염수화물,43,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
105,리바록사반,43,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
106,오메프라졸,42,소화/위장,yes,covered,"relation_card 보유(base=에스오메프라졸, relation_card 품목 42건) — source_confirmed 근거 존재"
107,나프록센,42,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
108,아토르바스타틴칼슘수화물,42,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
109,피타바스타틴칼슘수화물,42,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
110,이토프리드염산염,42,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
111,염화세틸피리디늄,42,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
112,리바스티그민,41,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
113,세프포독심프록세틸,39,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
114,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),39,골다공증,yes,covered,"relation_card 보유(base=리세드론산, relation_card 품목 39건) — source_confirmed 근거 존재"
115,암로디핀베실산염/로사르탄칼륨,38,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
116,올메사르탄메독소밀/암로디핀베실산염,37,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
117,리나글립틴,37,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
118,테고프라잔,37,기타,yes,covered,"relation_card 보유(base=테고프라잔, relation_card 품목 37건) — source_confirmed 근거 존재"
119,올란자핀,37,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
120,라사길린메실산염,37,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
121,피타바스타틴칼슘,36,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
122,플루오로메톨론,36,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
123,포비돈요오드,36,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
124,암브록솔염산염,35,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
125,아세트아미노펜,34,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
126,클래리트로마이신제피과립,34,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
127,암로디핀베실산염,34,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
128,텔미사르탄파우더(23.9%)/암로디핀베실산염,34,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
129,알벤다졸,34,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
130,오플록사신,33,기타,yes,covered,"relation_card 보유(base=오플록사신, relation_card 품목 33건) — source_confirmed 근거 존재"
131,세푸록심악세틸,33,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
132,피록시캄,33,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
133,페북소스타트,33,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
134,아세브로필린,33,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
135,라모세트론염산염,33,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
136,토파시티닙시트르산염,33,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
137,둘록세틴염산염장용과립,31,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
138,리세드론산나트륨2.5수화물,31,골다공증,yes,covered,"relation_card 보유(base=리세드론산, relation_card 품목 31건) — source_confirmed 근거 존재"
139,타크로리무스수화물,31,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
140,로피니롤염산염,31,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
141,올메사르탄메독소밀,30,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
142,탈니플루메이트,30,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
143,미르타자핀,30,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
144,프로피베린염산염,30,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
145,토브라마이신,30,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
146,브로멜라인,30,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
147,클로르족사존/에텐자미드/카페인수화물,29,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
148,사이클로스포린,29,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
149,클로르헥시딘글루콘산염 액,29,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
150,펜타닐시트르산염,29,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
151,에독사반토실산염수화물,29,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
152,아리피프라졸,28,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
153,침강탄산칼슘/인산수소칼슘수화물/아미노카프로산/알란토인클로로히드록시알루미늄,28,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
154,도네페질염산염일수화물,27,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
155,아세트아미노펜/슈도에페드린염산염/클로르페니라민말레산염,26,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
156,알프라졸람,26,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
157,세픽심수화물,26,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
158,테네리글립틴염산염수화물,26,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
159,케토티펜푸마르산염,26,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
160,부스피론염산염,26,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
161,디쿠아포솔나트륨,26,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
162,나프록센나트륨,25,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
